Date,Payup (ticks),Date,%OAS
7/10/2012,0.625,7/10/2012,0.237267
7/11/2012,0.625,7/11/2012,0.239203
7/12/2012,0.5625,7/12/2012,0.213555
7/13/2012,0.5625,7/13/2012,0.219892
7/16/2012,0.5625,7/16/2012,0.211613
7/17/2012,0.5625,7/17/2012,0.21781
7/18/2012,0.5625,7/18/2012,0.210086
7/19/2012,1,7/19/2012,0.380187
7/20/2012,1,7/20/2012,0.363397
7/23/2012,1,7/23/2012,0.353281
7/24/2012,1.0625,7/24/2012,0.369454
7/25/2012,1.0625,7/25/2012,0.371554
7/26/2012,1.0625,7/26/2012,0.379666
7/27/2012,1,7/27/2012,0.394274
7/30/2012,1,7/30/2012,0.37381
7/31/2012,1.0625,7/31/2012,0.390666
8/1/2012,1,8/1/2012,0.378296
8/2/2012,1.0625,8/2/2012,0.393114
8/3/2012,1.0625,8/3/2012,0.419877
8/6/2012,1.125,8/6/2012,0.423377
8/7/2012,1.125,8/7/2012,0.449204
8/8/2012,1,8/8/2012,0.395379
8/9/2012,1,8/9/2012,0.386728
8/10/2012,1,8/10/2012,0.378666
8/13/2012,1,8/13/2012,0.384213
8/14/2012,0.875,8/14/2012,0.3659
8/15/2012,0.8125,8/15/2012,0.385006
8/16/2012,0.8125,8/16/2012,0.395875
8/17/2012,0.6875,8/17/2012,0.324059
8/20/2012,0.6875,8/20/2012,0.317565
8/21/2012,0.75,8/21/2012,0.34497
8/22/2012,0.875,8/22/2012,0.357614
8/23/2012,0.9375,8/23/2012,0.353366
8/24/2012,0.9375,8/24/2012,0.368586
8/27/2012,0.9375,8/27/2012,0.354062
8/28/2012,0.9375,8/28/2012,0.345996
8/29/2012,0.875,8/29/2012,0.337987
8/30/2012,0.9375,8/30/2012,0.34585
8/31/2012,0.9375,8/31/2012,0.31945
9/4/2012,0.9375,9/4/2012,0.323531
9/5/2012,0.96875,9/5/2012,0.337411
9/6/2012,0.9375,9/6/2012,0.356077
9/7/2012,0.9375,9/7/2012,0.337436
9/10/2012,0.9375,9/10/2012,0.295434
9/11/2012,0.9375,9/11/2012,0.317591
9/12/2012,0.9375,9/12/2012,0.331333
9/13/2012,1,9/13/2012,0.297546
9/14/2012,0.875,9/14/2012,0.274432
9/17/2012,0.75,9/17/2012,0.236364
9/18/2012,0.625,9/18/2012,0.194379
9/19/2012,0.625,9/19/2012,0.184425
9/20/2012,0.625,9/20/2012,0.174739
9/21/2012,0.5,9/21/2012,0.130804
9/24/2012,0.4375,9/24/2012,0.107517
9/25/2012,0.4375,9/25/2012,0.101065
9/26/2012,0.4375,9/26/2012,0.096599
