Date,Payup (ticks),Date,%OAS
7/10/2012,2,7/10/2012,0.387109
7/11/2012,2,7/11/2012,0.384878
7/12/2012,2,7/12/2012,0.384372
7/13/2012,2,7/13/2012,0.394831
7/16/2012,2,7/16/2012,0.383228
7/17/2012,2,7/17/2012,0.391812
7/18/2012,2,7/18/2012,0.375892
7/19/2012,2,7/19/2012,0.378921
7/20/2012,2,7/20/2012,0.36475
7/23/2012,2,7/23/2012,0.3591
7/24/2012,2,7/24/2012,0.355011
7/25/2012,2,7/25/2012,0.355145
7/26/2012,2,7/26/2012,0.359
7/27/2012,2,7/27/2012,0.390431
7/30/2012,2,7/30/2012,0.372575
7/31/2012,2,7/31/2012,0.367818
8/1/2012,2,8/1/2012,0.388399
8/2/2012,2,8/2/2012,0.379836
8/3/2012,2,8/3/2012,0.401266
8/6/2012,2,8/6/2012,0.398308
8/7/2012,1.9375,8/7/2012,0.40517
8/8/2012,2,8/8/2012,0.414949
8/9/2012,2,8/9/2012,0.455428
8/10/2012,2,8/10/2012,0.447399
8/13/2012,2,8/13/2012,0.457254
8/14/2012,1.9375,8/14/2012,0.473921
8/15/2012,1.875,8/15/2012,0.506925
8/16/2012,1.75,8/16/2012,0.484377
8/17/2012,1.75,8/17/2012,0.468426
8/20/2012,1.75,8/20/2012,0.46088
8/21/2012,1.75,8/21/2012,0.457404
8/22/2012,1.75,8/22/2012,0.413393
8/23/2012,1.75,8/23/2012,0.394932
8/24/2012,1.75,8/24/2012,0.405965
8/27/2012,2,8/27/2012,0.453599
8/28/2012,2,8/28/2012,0.446137
8/29/2012,2,8/29/2012,0.45844
8/30/2012,2,8/30/2012,0.444399
8/31/2012,2,8/31/2012,0.422341
9/4/2012,2,9/4/2012,0.410747
9/5/2012,2,9/5/2012,0.412846
9/6/2012,2,9/6/2012,0.435916
9/7/2012,2,9/7/2012,0.422727
9/10/2012,2,9/10/2012,0.406908
9/11/2012,2,9/11/2012,0.437236
9/12/2012,2,9/12/2012,0.452122
9/13/2012,2.5,9/13/2012,0.500676
9/14/2012,2.5,9/14/2012,0.518651
9/17/2012,2.5,9/17/2012,0.520608
9/18/2012,2.5,9/18/2012,0.515869
9/19/2012,2.5,9/19/2012,0.498904
9/20/2012,2.5,9/20/2012,0.483006
9/21/2012,2.5,9/21/2012,0.459105
9/24/2012,2.5,9/24/2012,0.440832
9/25/2012,2.5,9/25/2012,0.42063
9/26/2012,2.5,9/26/2012,0.410718
9/27/2012,2.5,9/27/2012,0.438384
9/28/2012,2.5,9/28/2012,0.448367
10/1/2012,2.5,10/1/2012,0.436086
10/2/2012,2.5,10/2/2012,0.433281
10/3/2012,2.5,10/3/2012,0.434573
10/4/2012,2.5,10/4/2012,0.457738
10/5/2012,2.5,10/5/2012,0.494107
10/9/2012,2.5,10/9/2012,0.539615
10/10/2012,2.5,10/10/2012,0.525142
10/11/2012,2.5,10/11/2012,0.517632
10/12/2012,2.5,10/12/2012,0.522002
10/15/2012,2.5,10/15/2012,0.524006
10/16/2012,2.5,10/16/2012,0.544199
10/17/2012,2.5,10/17/2012,0.579977
10/18/2012,2.5,10/18/2012,0.59492
10/19/2012,2.5,10/19/2012,0.565655
10/22/2012,2.5,10/22/2012,0.577889
10/23/2012,2.5,10/23/2012,0.571935
10/24/2012,2.5,10/24/2012,0.579491
10/25/2012,2.5,10/25/2012,0.602377
