Date,Payup (ticks),Date,%OAS
7/10/2012,3.1875,7/10/2012,0.413798
7/11/2012,3.1875,7/11/2012,0.411323
7/12/2012,3.1875,7/12/2012,0.410382
7/13/2012,3.1875,7/13/2012,0.421763
7/16/2012,3.1875,7/16/2012,0.409352
7/17/2012,3.625,7/17/2012,0.477297
7/18/2012,3.625,7/18/2012,0.458381
7/19/2012,3.75,7/19/2012,0.479606
7/20/2012,3.75,7/20/2012,0.460563
7/23/2012,4,7/23/2012,0.482618
7/24/2012,4,7/24/2012,0.476252
7/25/2012,4,7/25/2012,0.476296
7/26/2012,4,7/26/2012,0.481931
7/27/2012,4,7/27/2012,0.52787
7/30/2012,4,7/30/2012,0.502574
7/31/2012,4,7/31/2012,0.496453
8/1/2012,4,8/1/2012,0.519681
8/2/2012,4,8/2/2012,0.506907
8/3/2012,4,8/3/2012,0.538445
8/6/2012,4.375,8/6/2012,0.583418
8/7/2012,4.3125,8/7/2012,0.606971
8/8/2012,4,8/8/2012,0.558661
8/9/2012,4,8/9/2012,0.59678
8/10/2012,4,8/10/2012,0.585642
8/13/2012,4,8/13/2012,0.598414
8/14/2012,3.875,8/14/2012,0.619653
8/15/2012,3.75,8/15/2012,0.662493
8/16/2012,3.6875,8/16/2012,0.666321
8/17/2012,3.375,8/17/2012,0.590391
8/20/2012,3.375,8/20/2012,0.582878
8/21/2012,3.375,8/21/2012,0.578485
8/22/2012,3.625,8/22/2012,0.563864
8/23/2012,3.625,8/23/2012,0.53887
8/24/2012,3.625,8/24/2012,0.552801
8/27/2012,3.75,8/27/2012,0.558983
8/28/2012,3.75,8/28/2012,0.548765
8/29/2012,3.75,8/29/2012,0.563778
8/30/2012,3.75,8/30/2012,0.546796
8/31/2012,3.75,8/31/2012,0.520415
9/4/2012,4,9/4/2012,0.547007
9/5/2012,4,9/5/2012,0.550483
9/6/2012,4,9/6/2012,0.583093
9/7/2012,4,9/7/2012,0.567057
9/10/2012,4,9/10/2012,0.554402
9/11/2012,4,9/11/2012,0.586175
9/12/2012,4,9/12/2012,0.607137
9/13/2012,4.5,9/13/2012,0.611353
9/14/2012,4.5,9/14/2012,0.636075
9/17/2012,4.5,9/17/2012,0.637511
9/18/2012,4.5,9/18/2012,0.631509
9/19/2012,4.5,9/19/2012,0.610324
9/20/2012,4.5,9/20/2012,0.590393
9/21/2012,4.5,9/21/2012,0.563152
9/24/2012,4.5,9/24/2012,0.540014
9/25/2012,4.5,9/25/2012,0.515888
9/26/2012,4.5,9/26/2012,0.502026
9/27/2012,4.5,9/27/2012,0.53537
9/28/2012,4.5,9/28/2012,0.548163
10/1/2012,4.5,10/1/2012,0.53447
10/2/2012,4.5,10/2/2012,0.530981
10/3/2012,4.5,10/3/2012,0.532428
10/4/2012,4.5,10/4/2012,0.562248
10/5/2012,4.5,10/5/2012,0.602649
10/9/2012,4.5,10/9/2012,0.643772
10/10/2012,4.5,10/10/2012,0.625223
10/11/2012,4.5,10/11/2012,0.615132
10/12/2012,4.5,10/12/2012,0.619826
10/15/2012,4.5,10/15/2012,0.622313
10/16/2012,4.5,10/16/2012,0.647601
10/17/2012,4.5,10/17/2012,0.690735
10/18/2012,4.5,10/18/2012,0.707804
10/19/2012,4.5,10/19/2012,0.67161
10/22/2012,4.5,10/22/2012,0.687202
10/23/2012,4.5,10/23/2012,0.67901
10/24/2012,4.5,10/24/2012,0.688431
10/25/2012,4.5,10/25/2012,0.717688
10/26/2012,4.5,10/26/2012,0.678208
10/29/2012,4.5,10/29/2012,0.665685
10/30/2012,4.5,10/30/2012,0.864095
10/31/2012,4.5,10/31/2012,0.647579
11/1/2012,4.5,11/1/2012,0.669084
11/2/2012,4.5,11/2/2012,0.657661
11/5/2012,4.5,11/5/2012,0.631312
11/6/2012,4.5,11/6/2012,0.674903
11/7/2012,4.5625,11/7/2012,0.605714
11/8/2012,4.5625,11/8/2012,0.585381
11/9/2012,4.5625,11/9/2012,0.625319
11/13/2012,4.5625,11/13/2012,0.642372
11/14/2012,4.5625,11/14/2012,0.661383
11/15/2012,4.5625,11/15/2012,0.643483
11/16/2012,4.5625,11/16/2012,0.621127
11/19/2012,4.5625,11/19/2012,0.632231
11/20/2012,4.5625,11/20/2012,0.649093
11/21/2012,4.5625,11/21/2012,0.666542
11/23/2012,4.5625,11/23/2012,0.667005
