Date,Payup (ticks),Date,%OAS
10/26/2012,0.3125,10/26/2012,0.150607
10/29/2012,0.3125,10/29/2012,0.146521
10/30/2012,0.3125,10/30/2012,0.158644
10/31/2012,0.3125,10/31/2012,0.141356
11/1/2012,0.3125,11/1/2012,0.152172
11/2/2012,0.375,11/2/2012,0.17862
11/5/2012,0.375,11/5/2012,0.169106
11/6/2012,0.375,11/6/2012,0.186233
11/7/2012,0.5,11/7/2012,0.197937
11/8/2012,0.5,11/8/2012,0.189798
11/9/2012,0.5,11/9/2012,0.192702
11/13/2012,0.5,11/13/2012,0.195267
11/14/2012,0.5,11/14/2012,0.202588
11/15/2012,0.5,11/15/2012,0.195675
11/16/2012,0.5,11/16/2012,0.188334
11/19/2012,0.5,11/19/2012,0.195867
11/20/2012,0.5,11/20/2012,0.203455
11/21/2012,0.5,11/21/2012,0.212249
11/23/2012,0.625,11/23/2012,0.267003
11/26/2012,0.75,11/26/2012,0.304329
11/27/2012,0.75,11/27/2012,0.291527
11/28/2012,0.75,11/28/2012,0.288401
11/29/2012,0.75,11/29/2012,0.291953
11/30/2012,0.75,11/30/2012,0.287372
12/3/2012,0.75,12/3/2012,0.287554
12/4/2012,0.75,12/4/2012,0.281369
12/5/2012,0.75,12/5/2012,0.282916
12/6/2012,0.75,12/6/2012,0.289435
12/7/2012,0.9375,12/7/2012,0.381899
12/10/2012,0.9375,12/10/2012,0.374295
12/11/2012,0.9375,12/11/2012,0.379311
12/12/2012,0.875,12/12/2012,0.371704
12/13/2012,0.875,12/13/2012,0.376192
12/14/2012,0.875,12/14/2012,0.38888
12/17/2012,0.875,12/17/2012,0.406497
12/18/2012,0.75,12/18/2012,0.365363
12/19/2012,0.75,12/19/2012,0.357506
12/20/2012,0.75,12/20/2012,0.361924
12/21/2012,0.75,12/21/2012,0.343636
12/24/2012,0.8125,12/24/2012,0.378372
12/26/2012,0.8125,12/26/2012,0.371703
12/27/2012,0.8125,12/27/2012,0.361321
12/28/2012,0.8125,12/28/2012,0.36199
12/31/2012,0.8125,12/31/2012,0.370195
1/2/2013,0.8125,1/2/2013,0.397123
1/3/2013,0.6875,1/3/2013,0.369467
1/4/2013,0.625,1/4/2013,0.341124
1/7/2013,0.625,1/7/2013,0.331078
1/8/2013,0.625,1/8/2013,0.320437
1/9/2013,0.625,1/9/2013,0.314576
1/10/2013,0.5625,1/10/2013,0.317887
1/11/2013,0.5625,1/11/2013,0.311348
1/14/2013,0.5625,1/14/2013,0.308664
1/15/2013,0.5625,1/15/2013,0.308994
1/16/2013,0.5625,1/16/2013,0.30766
1/17/2013,0.5,1/17/2013,0.289169
1/18/2013,0.5,1/18/2013,0.285727
1/22/2013,0.5,1/22/2013,0.285033
1/23/2013,0.5,1/23/2013,0.278969
1/24/2013,0.5,1/24/2013,0.282952
1/25/2013,0.5,1/25/2013,0.319827
1/28/2013,0.3125,1/28/2013,0.199544
1/29/2013,0.3125,1/29/2013,0.200317
1/30/2013,0.3125,1/30/2013,0.203039
1/31/2013,0.3125,1/31/2013,0.201527
2/1/2013,0.3125,2/1/2013,0.19589
2/4/2013,0.3125,2/4/2013,0.189792
2/5/2013,0.3125,2/5/2013,0.191085
2/6/2013,0.1875,2/6/2013,0.110673
2/7/2013,0.1875,2/7/2013,0.110482
2/8/2013,0.1875,2/8/2013,0.115605
2/11/2013,0.1875,2/11/2013,0.114215
2/12/2013,0.1875,2/12/2013,0.117905
2/13/2013,0.1875,2/13/2013,0.120959
2/14/2013,0.1875,2/14/2013,0.117478
2/15/2013,0.1875,2/15/2013,0.118775
2/19/2013,0.1875,2/19/2013,0.120701
2/20/2013,0.1875,2/20/2013,0.120988
2/21/2013,0.1875,2/21/2013,0.117633
2/22/2013,0.1875,2/22/2013,0.117065
2/25/2013,0.25,2/25/2013,0.146648
2/26/2013,0.25,2/26/2013,0.143519
2/27/2013,0.25,2/27/2013,0.147933
2/28/2013,0.25,2/28/2013,0.142848
3/1/2013,0.25,3/1/2013,0.137838
3/4/2013,0.25,3/4/2013,0.140137
3/5/2013,0.25,3/5/2013,0.141078
3/6/2013,0.25,3/6/2013,0.14705
3/7/2013,0.25,3/7/2013,0.15649
3/8/2013,0.25,3/8/2013,0.16653
3/11/2013,0.25,3/11/2013,0.165951
3/12/2013,0.25,3/12/2013,0.163691
3/13/2013,0.25,3/13/2013,0.161366
3/14/2013,0.125,3/14/2013,0.080567
3/15/2013,0.125,3/15/2013,0.078112
3/18/2013,0.125,3/18/2013,0.074211
3/19/2013,0.125,3/19/2013,0.072692
3/20/2013,0.125,3/20/2013,0.075004
3/21/2013,0.125,3/21/2013,0.075517
3/22/2013,0.125,3/22/2013,0.074875
3/25/2013,0.125,3/25/2013,0.075182
3/26/2013,0.125,3/26/2013,0.076471
3/27/2013,0.125,3/27/2013,0.073996
3/28/2013,0.125,3/28/2013,0.074523
4/1/2013,0.125,4/1/2013,0.074007
4/2/2013,0.125,4/2/2013,0.074968
4/3/2013,0.25,4/3/2013,0.146541
4/4/2013,0.25,4/4/2013,0.136422
4/5/2013,0.3125,4/5/2013,0.175635
4/8/2013,0.3125,4/8/2013,0.184694
4/9/2013,0.25,4/9/2013,0.149442
4/10/2013,0.25,4/10/2013,0.154829
4/11/2013,0.25,4/11/2013,0.153364
4/12/2013,0.3125,4/12/2013,0.182152
4/15/2013,0.3125,4/15/2013,0.177234
4/16/2013,0.3125,4/16/2013,0.181237
4/17/2013,0.3125,4/17/2013,0.178948
4/18/2013,0.3125,4/18/2013,0.175731
4/19/2013,0.3125,4/19/2013,0.178232
4/22/2013,0.3125,4/22/2013,0.177979
4/23/2013,0.3125,4/23/2013,0.179046
4/24/2013,0.3125,4/24/2013,0.178214
4/25/2013,0.3125,4/25/2013,0.179196
4/26/2013,0.3125,4/26/2013,0.17225
4/29/2013,0.3125,4/29/2013,0.171546
4/30/2013,0.3125,4/30/2013,0.1705
5/1/2013,0.3125,5/1/2013,0.161949
5/2/2013,0.3125,5/2/2013,0.164389
5/3/2013,0.375,5/3/2013,0.218099
5/6/2013,0.375,5/6/2013,0.224728
5/7/2013,0.3125,5/7/2013,0.188993
5/8/2013,0.3125,5/8/2013,0.186348
5/9/2013,0.3125,5/9/2013,0.18689
5/10/2013,0.3125,5/10/2013,0.202048
5/13/2013,0.25,5/13/2013,0.164306
5/14/2013,0.25,5/14/2013,0.169641
5/15/2013,0.25,5/15/2013,0.168457
5/16/2013,0.25,5/16/2013,0.157275
5/17/2013,0.25,5/17/2013,0.169355
5/20/2013,0.25,5/20/2013,0.171633
5/21/2013,0.25,5/21/2013,0.167641
5/22/2013,0.125,5/22/2013,0.088309
5/23/2013,0.125,5/23/2013,0.088995
5/24/2013,0.125,5/24/2013,0.089455
5/25/2013,0.125,5/25/2013,0.090065667
5/27/2013,0.125,5/27/2013,0.090676333
5/28/2013,0.125,5/28/2013,0.092708
5/29/2013,0.125,5/29/2013,0.090649
5/30/2013,0.125,5/30/2013,0.08947
5/31/2013,0.125,5/31/2013,0.090007
6/3/2013,0.125,6/3/2013,0.088507
6/4/2013,0.125,6/4/2013,0.088472
6/5/2013,0.125,6/5/2013,0.087468
6/6/2013,0.125,6/6/2013,0.087117
6/7/2013,0.125,6/7/2013,0.088692
6/10/2013,0.125,6/10/2013,0.089696
6/11/2013,0.125,6/11/2013,0.086412
6/12/2013,0.125,6/12/2013,0.08745
6/13/2013,0.125,6/13/2013,0.086328
6/14/2013,0.125,6/14/2013,0.083763
6/17/2013,0.125,6/17/2013,0.086584
6/18/2013,0.125,6/18/2013,0.086743
6/19/2013,0.03125,6/19/2013,0.022284
6/20/2013,0.03125,6/20/2013,0.022754
6/21/2013,0.03125,6/21/2013,0.02323
6/24/2013,0.03125,6/24/2013,0.023437
6/25/2013,0.03125,6/25/2013,0.023485
6/26/2013,0.03125,6/26/2013,0.023303
6/27/2013,0.03125,6/27/2013,0.022361
6/28/2013,0.03125,6/28/2013,0.022753
7/1/2013,0.03125,7/1/2013,0.023031
7/2/2013,0.03125,7/2/2013,0.023012
7/3/2013,0.03125,7/3/2013,0.023281
7/5/2013,0.03125,7/5/2013,0.021473
7/8/2013,0.03125,7/8/2013,0.021457
7/9/2013,0.03125,7/9/2013,0.021603
7/10/2013,0.03125,7/10/2013,0.021404
7/11/2013,0.03125,7/11/2013,0.021355
7/12/2013,0.03125,7/12/2013,0.021344
7/15/2013,0.03125,7/15/2013,0.021472
7/16/2013,0.03125,7/16/2013,0.021561
7/17/2013,0.03125,7/17/2013,0.021708
7/18/2013,0.03125,7/18/2013,0.021564
7/19/2013,0.03125,7/19/2013,0.021788
7/22/2013,0.03125,7/22/2013,0.021793
7/23/2013,0.03125,7/23/2013,0.02162
7/24/2013,0.03125,7/24/2013,0.021302
7/25/2013,0.03125,7/25/2013,0.021258
7/26/2013,0.03125,7/26/2013,0.021338
7/29/2013,0.03125,7/29/2013,0.021191
7/30/2013,0.03125,7/30/2013,0.021106
7/31/2013,0.03125,7/31/2013,0.021258
8/1/2013,0.03125,8/1/2013,0.020838
8/2/2013,0.03125,8/2/2013,0.021298
8/5/2013,0.03125,8/5/2013,0.021314
8/6/2013,0.03125,8/6/2013,0.021296
8/7/2013,0.03125,8/7/2013,0.021505
8/8/2013,0.03125,8/8/2013,0.021553
8/9/2013,0.03125,8/9/2013,0.021551
8/12/2013,0.03125,8/12/2013,0.021463
8/13/2013,0.03125,8/13/2013,0.021267
8/14/2013,0.03125,8/14/2013,0.021266
8/15/2013,0.03125,8/15/2013,0.021089
8/16/2013,0.03125,8/16/2013,0.020896
8/19/2013,0.03125,8/19/2013,0.02067
8/20/2013,0.03125,8/20/2013,0.020821
8/21/2013,0.03125,8/21/2013,0.020606
8/22/2013,0.03125,8/22/2013,0.02056
8/23/2013,0.03125,8/23/2013,0.020685
8/26/2013,0.03125,8/26/2013,0.020702
8/27/2013,0.03125,8/27/2013,0.020795
8/28/2013,0.03125,8/28/2013,0.020538
8/29/2013,0.03125,8/29/2013,0.02068
8/30/2013,0.03125,8/30/2013,0.020619
9/2/2013,0.03125,9/2/2013,0.0205615
9/3/2013,0.03125,9/3/2013,0.020338
9/4/2013,0.03125,9/4/2013,0.02022
9/5/2013,0.03125,9/5/2013,0.019931
9/6/2013,0.03125,9/6/2013,0.019905
9/9/2013,0.03125,9/9/2013,0.020042
9/10/2013,0.03125,9/10/2013,0.020162
9/11/2013,0.03125,9/11/2013,0.020275
9/12/2013,0.03125,9/12/2013,0.020396
9/13/2013,0.03125,9/13/2013,0.0204
9/16/2013,0.03125,9/16/2013,0.020471
9/17/2013,0.03125,9/17/2013,0.02071
9/18/2013,0.03125,9/18/2013,0.021089
9/19/2013,0.03125,9/19/2013,0.021116
9/20/2013,0.03125,9/20/2013,0.021191
9/23/2013,0.03125,9/23/2013,0.021328
9/24/2013,0.03125,9/24/2013,0.021584
9/25/2013,0.03125,9/25/2013,0.021628
9/26/2013,0.03125,9/26/2013,0.021458
9/27/2013,0.03125,9/27/2013,0.021391
9/30/2013,0.03125,9/30/2013,0.021356
10/1/2013,0.03125,10/1/2013,0.021346
10/2/2013,0.03125,10/2/2013,0.021374
10/3/2013,0.03125,10/3/2013,0.021237
10/4/2013,0.03125,10/4/2013,0.021166
10/7/2013,0.03125,10/7/2013,0.02118
10/8/2013,0.03125,10/8/2013,0.021224
10/9/2013,0.03125,10/9/2013,0.021422
10/10/2013,0.03125,10/10/2013,0.021503
10/11/2013,0.03125,10/11/2013,0.021354
10/15/2013,0.03125,10/15/2013,0.021201
10/16/2013,0.03125,10/16/2013,0.021302
10/17/2013,0.03125,10/17/2013,0.021495
10/18/2013,0.03125,10/18/2013,0.021557
10/21/2013,0.03125,10/21/2013,0.021532
10/22/2013,0.03125,10/22/2013,0.02173
10/23/2013,0.03125,10/23/2013,0.022
10/24/2013,0.03125,10/24/2013,0.02188
10/25/2013,0.03125,10/25/2013,0.021955
10/28/2013,0.03125,10/28/2013,0.022031
10/29/2013,0.03125,10/29/2013,0.022005
10/30/2013,0.03125,10/30/2013,0.022058
10/31/2013,0.03125,10/31/2013,0.02194
11/1/2013,0.03125,11/1/2013,0.02165
11/4/2013,0.03125,11/4/2013,0.021563
11/5/2013,0.03125,11/5/2013,0.021237
11/6/2013,0.03125,11/6/2013,0.021183
11/7/2013,0.03125,11/7/2013,0.021281
11/8/2013,0.03125,11/8/2013,0.021211
11/12/2013,0.03125,11/12/2013,0.021255
11/13/2013,0.03125,11/13/2013,0.021285
11/14/2013,0.03125,11/14/2013,0.021457
11/15/2013,0.03125,11/15/2013,0.021608
11/18/2013,0.03125,11/18/2013,0.021801
11/19/2013,0.03125,11/19/2013,0.021689
11/20/2013,0.03125,11/20/2013,0.021295
11/21/2013,0.03125,11/21/2013,0.021375
11/22/2013,0.03125,11/22/2013,0.021493
11/25/2013,0.03125,11/25/2013,0.021484
11/26/2013,0.03125,11/26/2013,0.02148
11/27/2013,0.03125,11/27/2013,0.021359
11/29/2013,0.03125,11/29/2013,0.021356
12/2/2013,0.03125,12/2/2013,0.020699
12/3/2013,0.03125,12/3/2013,0.020693
12/4/2013,0.03125,12/4/2013,0.020475
12/5/2013,0.03125,12/5/2013,0.020453
12/6/2013,0.03125,12/6/2013,0.020704
12/9/2013,0.03125,12/9/2013,0.021133
12/10/2013,0.03125,12/10/2013,0.021286
12/11/2013,0.03125,12/11/2013,0.021135
12/12/2013,0.03125,12/12/2013,0.021133
12/13/2013,0.03125,12/13/2013,0.021233
12/16/2013,0.03125,12/16/2013,0.021213
12/17/2013,0.03125,12/17/2013,0.021308
12/18/2013,0.03125,12/18/2013,0.021151
12/19/2013,0.03125,12/19/2013,0.021212
12/20/2013,0.03125,12/20/2013,0.021519
12/23/2013,0.03125,12/23/2013,0.021697
12/24/2013,0.03125,12/24/2013,0.02141
12/26/2013,0.03125,12/26/2013,0.021315
12/27/2013,0.03125,12/27/2013,0.02128
12/30/2013,0.03125,12/30/2013,0.021448
12/31/2013,0.03125,12/31/2013,0.021365
1/2/2014,0.03125,1/2/2014,0.021761
1/3/2014,0.03125,1/3/2014,0.021846
1/6/2014,0.03125,1/6/2014,0.021998
