Date,Payup (ticks),Date,%OAS
10/26/2012,0.03125,10/26/2012,0.035666
10/29/2012,0.03125,10/29/2012,0.034798
10/30/2012,0.03125,10/30/2012,0.032995
10/31/2012,0.03125,10/31/2012,0.033764
11/1/2012,0.03125,11/1/2012,0.036162
11/2/2012,0.03125,11/2/2012,0.035517
11/5/2012,0.03125,11/5/2012,0.033848
11/6/2012,0.03125,11/6/2012,0.036819
11/7/2012,0.125,11/7/2012,0.105811
11/8/2012,0.125,11/8/2012,0.102326
11/9/2012,0.125,11/9/2012,0.107025
11/13/2012,0.125,11/13/2012,0.108394
11/14/2012,0.125,11/14/2012,0.112601
11/15/2012,0.125,11/15/2012,0.109312
11/16/2012,0.125,11/16/2012,0.105782
11/19/2012,0.125,11/19/2012,0.109502
11/20/2012,0.125,11/20/2012,0.113255
11/21/2012,0.125,11/21/2012,0.117425
11/23/2012,0.125,11/23/2012,0.118155
11/26/2012,0.25,11/26/2012,0.224538
11/27/2012,0.25,11/27/2012,0.215706
11/28/2012,0.25,11/28/2012,0.214479
11/29/2012,0.25,11/29/2012,0.217113
11/30/2012,0.25,11/30/2012,0.213602
12/3/2012,0.25,12/3/2012,0.210406
12/4/2012,0.25,12/4/2012,0.20599
12/5/2012,0.25,12/5/2012,0.206595
12/6/2012,0.25,12/6/2012,0.210718
12/7/2012,0.25,12/7/2012,0.219202
12/10/2012,0.25,12/10/2012,0.220258
12/11/2012,0.25,12/11/2012,0.222972
12/12/2012,0.25,12/12/2012,0.233444
12/13/2012,0.25,12/13/2012,0.236849
12/14/2012,0.25,12/14/2012,0.246808
12/17/2012,0.25,12/17/2012,0.258268
12/18/2012,0.25,12/18/2012,0.274598
12/19/2012,0.25,12/19/2012,0.266275
12/20/2012,0.25,12/20/2012,0.267682
12/21/2012,0.25,12/21/2012,0.25463
12/24/2012,0.25,12/24/2012,0.258634
12/26/2012,0.25,12/26/2012,0.254781
12/27/2012,0.25,12/27/2012,0.247506
12/28/2012,0.25,12/28/2012,0.248522
12/31/2012,0.25,12/31/2012,0.253174
1/2/2013,0.25,1/2/2013,0.235332
1/3/2013,0.125,1/3/2013,0.130393
1/4/2013,0.0625,1/4/2013,0.066222
1/7/2013,0.125,1/7/2013,0.127526
1/8/2013,0.125,1/8/2013,0.123496
1/9/2013,0.125,1/9/2013,0.120529
1/10/2013,0.125,1/10/2013,0.15068
1/11/2013,0.125,1/11/2013,0.146637
1/14/2013,0.125,1/14/2013,0.144376
1/15/2013,0.125,1/15/2013,0.143543
1/16/2013,0.125,1/16/2013,0.143728
1/17/2013,0.125,1/17/2013,0.154072
1/18/2013,0.125,1/18/2013,0.151281
1/22/2013,0.125,1/22/2013,0.150503
1/23/2013,0.125,1/23/2013,0.146691
1/24/2013,0.125,1/24/2013,0.149511
1/25/2013,0.125,1/25/2013,0.174002
1/28/2013,0.03125,1/28/2013,0.044058
1/29/2013,0.03125,1/29/2013,0.044659
1/30/2013,0.03125,1/30/2013,0.045652
1/31/2013,0.03125,1/31/2013,0.044964
2/1/2013,0.03125,2/1/2013,0.041307
2/4/2013,0.03125,2/4/2013,0.039268
2/5/2013,0.03125,2/5/2013,0.040587
2/6/2013,0.03125,2/6/2013,0.038426
2/7/2013,0.03125,2/7/2013,0.038732
2/8/2013,0.03125,2/8/2013,0.042585
2/11/2013,0.03125,2/11/2013,0.041391
2/12/2013,0.03125,2/12/2013,0.043516
2/13/2013,0.03125,2/13/2013,0.045754
2/14/2013,0.03125,2/14/2013,0.04339
2/15/2013,0.03125,2/15/2013,0.044335
2/19/2013,0.03125,2/19/2013,0.045498
2/20/2013,0.03125,2/20/2013,0.045762
2/21/2013,0.03125,2/21/2013,0.043799
2/22/2013,0.03125,2/22/2013,0.043605
2/25/2013,0.03125,2/25/2013,0.03963
