Date,Payup (ticks),Date,%OAS
1/2/2013,3.25,1/2/2013,0.525259
1/3/2013,3.25,1/3/2013,0.550984
1/4/2013,3.25,1/4/2013,0.552419
1/7/2013,3.25,1/7/2013,0.542292
1/8/2013,3.25,1/8/2013,0.538926
1/9/2013,3.25,1/9/2013,0.532794
1/10/2013,3.25,1/10/2013,0.592469
1/11/2013,3.25,1/11/2013,0.583074
1/14/2013,3.25,1/14/2013,0.575649
1/15/2013,3.25,1/15/2013,0.568789
1/16/2013,3.25,1/16/2013,0.566247
1/17/2013,3.25,1/17/2013,0.594108
1/18/2013,3.25,1/18/2013,0.585099
1/22/2013,3.25,1/22/2013,0.585622
1/23/2013,3.25,1/23/2013,0.581367
1/24/2013,3.25,1/24/2013,0.595231
1/25/2013,3.25,1/25/2013,0.662293
1/28/2013,2.75,1/28/2013,0.569947
1/29/2013,2.75,1/29/2013,0.575296
1/30/2013,2.75,1/30/2013,0.58682
1/31/2013,2.75,1/31/2013,0.577899
2/1/2013,2.75,2/1/2013,0.564041
2/4/2013,2.75,2/4/2013,0.544866
2/5/2013,2.75,2/5/2013,0.558431
2/6/2013,2.75,2/6/2013,0.536523
2/7/2013,2.75,2/7/2013,0.52922
2/8/2013,2.75,2/8/2013,0.582748
2/11/2013,2.75,2/11/2013,0.577182
2/12/2013,2.75,2/12/2013,0.589817
2/13/2013,2.75,2/13/2013,0.596695
2/14/2013,2.75,2/14/2013,0.570511
2/15/2013,2.75,2/15/2013,0.567457
2/19/2013,2.75,2/19/2013,0.572248
2/20/2013,2.75,2/20/2013,0.573457
2/21/2013,2.75,2/21/2013,0.561518
2/22/2013,2.75,2/22/2013,0.558478
2/25/2013,2.75,2/25/2013,0.532284
2/26/2013,2.75,2/26/2013,0.519709
2/27/2013,2.75,2/27/2013,0.527867
2/28/2013,2.75,2/28/2013,0.512094
3/1/2013,2.75,3/1/2013,0.503601
3/4/2013,2.75,3/4/2013,0.511688
3/5/2013,2.75,3/5/2013,0.515139
3/6/2013,2.75,3/6/2013,0.531548
3/7/2013,2.75,3/7/2013,0.546271
3/8/2013,2.75,3/8/2013,0.62101
3/11/2013,2.75,3/11/2013,0.614497
3/12/2013,2.75,3/12/2013,0.595984
3/13/2013,2.75,3/13/2013,0.586184
3/14/2013,2.75,3/14/2013,0.581751
3/15/2013,2.75,3/15/2013,0.56808
3/18/2013,2.75,3/18/2013,0.552716
3/19/2013,2.75,3/19/2013,0.539086
3/20/2013,2.75,3/20/2013,0.556418
3/21/2013,2.75,3/21/2013,0.559473
3/22/2013,2.75,3/22/2013,0.547398
3/25/2013,2.75,3/25/2013,0.546336
3/26/2013,2.75,3/26/2013,0.550692
3/27/2013,2.75,3/27/2013,0.531224
3/28/2013,2.75,3/28/2013,0.534456
4/1/2013,2.75,4/1/2013,0.546567
4/2/2013,2.75,4/2/2013,0.553037
4/3/2013,2.75,4/3/2013,0.535113
4/4/2013,2.75,4/4/2013,0.510131
4/5/2013,2.75,4/5/2013,0.458341
4/8/2013,2.75,4/8/2013,0.478562
4/9/2013,2.75,4/9/2013,0.522516
4/10/2013,2.75,4/10/2013,0.545242
4/11/2013,2.75,4/11/2013,0.538389
4/12/2013,2.75,4/12/2013,0.511773
4/15/2013,2.75,4/15/2013,0.5053
4/16/2013,2.75,4/16/2013,0.50853
4/17/2013,2.75,4/17/2013,0.50397
4/18/2013,2.75,4/18/2013,0.490918
4/19/2013,2.75,4/19/2013,0.494432
4/22/2013,2.75,4/22/2013,0.493375
4/23/2013,2.75,4/23/2013,0.493544
4/24/2013,2.75,4/24/2013,0.49534
4/25/2013,2.75,4/25/2013,0.496736
4/26/2013,2.75,4/26/2013,0.480549
4/29/2013,2.75,4/29/2013,0.475714
4/30/2013,2.75,4/30/2013,0.474706
5/1/2013,2.875,5/1/2013,0.473159
5/2/2013,2.875,5/2/2013,0.479642
5/3/2013,2.875,5/3/2013,0.514664
5/6/2013,2.875,5/6/2013,0.527591
5/7/2013,3.5,5/7/2013,0.653391
5/8/2013,3.5,5/8/2013,0.642054
5/9/2013,3.5,5/9/2013,0.706825
5/10/2013,3.375,5/10/2013,0.735686
5/13/2013,3.375,5/13/2013,0.748546
5/14/2013,3.375,5/14/2013,0.767328
5/15/2013,3.375,5/15/2013,0.765302
5/16/2013,3.375,5/16/2013,0.70157
5/17/2013,3.375,5/17/2013,0.775337
5/20/2013,3.375,5/20/2013,0.794179
5/21/2013,3.375,5/21/2013,0.754177
5/22/2013,3.375,5/22/2013,0.819166
5/23/2013,3.375,5/23/2013,0.82259
5/24/2013,3,5/24/2013,0.726866
5/27/2013,3,5/28/2013,0.812342
5/28/2013,3,5/29/2013,0.784829
5/29/2013,3,5/30/2013,0.772607
5/30/2013,3,5/31/2013,0.74248
5/31/2013,2.75,6/3/2013,0.786162
6/3/2013,2.75,6/4/2013,0.81415
6/4/2013,2.75,6/5/2013,0.811821
6/5/2013,2.75,6/6/2013,0.762654
6/6/2013,2.75,6/7/2013,0.712746
6/7/2013,2.5,6/10/2013,0.726437
6/10/2013,2.5,6/11/2013,0.793005
6/11/2013,2.5,6/12/2013,0.815517
6/12/2013,2.5,6/13/2013,0.77436
6/13/2013,2.5,6/14/2013,0.756345
6/14/2013,2.5,6/17/2013,0.766179
6/17/2013,2.5,6/18/2013,0.53565
6/18/2013,1.75,6/19/2013,0.566075
6/19/2013,1.625,6/20/2013,0.644878
6/20/2013,1.625,6/21/2013,0.561594
6/21/2013,1.25,6/24/2013,0.468155
6/24/2013,1,6/25/2013,0.483173
6/25/2013,1,6/26/2013,0.464953
6/26/2013,1,6/27/2013,0.545368
6/27/2013,1.25,6/28/2013,0.534865
6/28/2013,1.25,7/1/2013,0.520768
7/1/2013,1.25,7/2/2013,0.417379
7/2/2013,1,7/3/2013,0.440314
7/3/2013,1,7/5/2013,0.572125
7/5/2013,1,7/8/2013,0.510668
7/8/2013,1,7/9/2013,0.481728
7/9/2013,1,7/10/2013,0.532857
7/10/2013,1,7/11/2013,0.529445
7/11/2013,1,7/12/2013,0.538908
7/12/2013,1,7/15/2013,0.504668
7/15/2013,1,7/16/2013,0.495606
7/16/2013,1,7/17/2013,0.477748
7/17/2013,1,7/18/2013,0.509911
7/18/2013,1,7/19/2013,0.478112
7/19/2013,1,7/22/2013,0.705672
7/22/2013,1.5,7/23/2013,0.728128
7/23/2013,1.5,7/24/2013,0.517154
7/24/2013,1,7/25/2013,0.521824
7/25/2013,1,7/26/2013,0.504215
7/26/2013,1,7/29/2013,0.511927
7/29/2013,1,7/30/2013,0.519527
7/30/2013,1,7/31/2013,0.50509
7/31/2013,1,8/1/2013,0.563656
